,gemeentena,n_transport,Area,transport_per_km2
0,'s-Gravenhage,992.0,82.45,12.031534263189812
1,'s-Hertogenbosch,381.0,109.99,3.463951268297118
2,Aa en Hunze,229.0,276.09,0.8294396754681446
3,Aalburg,47.0,53.17,0.8839571186759451
4,Aalsmeer,73.0,20.12,3.628230616302187
5,Aalten,34.0,96.54,0.35218562253987984
6,Achtkarspelen,113.0,102.23,1.1053506798395774
7,Alblasserdam,41.0,8.78,4.669703872437358
8,Albrandswaard,76.0,21.69,3.503918856615952
9,Alkmaar,318.0,110.46,2.8788701792504074
10,Almelo,220.0,67.27,3.2704028541697636
11,Almere,262.0,129.19,2.028020744639678
12,Alphen aan den Rijn,297.0,126.23,2.3528479759169767
13,Alphen-Chaam,47.0,93.04,0.5051590713671539
14,Ameland,80.0,59.11,1.3534088986635087
15,Amersfoort,326.0,62.62,5.206004471414883
16,Amstelveen,253.0,41.13,6.151227814247507
17,Amsterdam,1587.0,165.5,9.589123867069487
18,Apeldoorn,465.0,339.89,1.3680896760716703
19,Appingedam,49.0,23.78,2.0605550883095036
20,Arnhem,524.0,97.82,5.356777755060315
21,Assen,227.0,81.89,2.772011234582977
22,Asten,21.0,70.17,0.2992731936725096
23,Baarle-Nassau,23.0,76.14,0.30207512477016024
24,Baarn,51.0,32.54,1.5673017824216349
25,Barendrecht,100.0,19.75,5.063291139240507
26,Barneveld,162.0,175.9,0.9209778283115406
27,Bedum,26.0,44.96,0.5782918149466192
28,Beek,39.0,21.03,1.854493580599144
29,Beemster,87.0,70.58,1.2326438084443185
30,Beesel,20.0,27.99,0.7145409074669525
31,Bergeijk,83.0,101.0,0.8217821782178217
32,Bergen (L.),53.0,103.24,0.5133669120495932
33,Bergen (NH.),159.0,98.96,1.606709781729992
34,Bergen op Zoom,139.0,79.96,1.7383691845922964
35,Berkelland,127.0,258.06,0.4921336123382159
36,Bernheze,64.0,89.73,0.7132508637022177
37,Best,50.0,34.3,1.457725947521866
38,Beuningen,55.0,43.65,1.2600229095074456
39,Beverwijk,80.0,18.4,4.347826086956522
40,Binnenmaas,77.0,,
41,Bladel,43.0,75.33,0.5708217177751228
42,Blaricum,18.0,11.11,1.6201620162016201
43,Bloemendaal,77.0,39.79,1.9351595878361398
44,Bodegraven-Reeuwijk,106.0,75.38,1.406208543380207
45,Boekel,32.0,34.51,0.9272674587076211
46,Borger-Odoorn,225.0,274.53,0.8195825592831385
47,Borne,53.0,26.0,2.0384615384615383
48,Borsele,97.0,141.57,0.6851734124461397
49,Boxmeer,74.0,111.44,0.6640344580043073
50,Boxtel,50.0,63.73,0.7845598619174643
51,Breda,387.0,125.74,3.0777795450930494
52,Brielle,44.0,27.55,1.5970961887477313
53,Bronckhorst,102.0,283.5,0.35978835978835977
54,Brummen,92.0,83.65,1.0998206814106395
55,Brunssum,57.0,17.25,3.3043478260869565
56,Bunnik,39.0,36.97,1.0549093859886394
57,Bunschoten,39.0,30.38,1.2837393021724819
58,Buren,132.0,133.89,0.9858839345731572
59,Bussum,54.0,8.15,6.625766871165644
60,Capelle aan den IJssel,122.0,14.14,8.628005657708627
61,Castricum,82.0,49.68,1.6505636070853462
62,Coevorden,165.0,296.07,0.5573006383625494
63,Cranendonck,69.0,76.4,0.9031413612565444
64,Cromstrijen,30.0,70.31,0.4266818375764472
65,Cuijk,66.0,51.16,1.2900703674745897
66,Culemborg,30.0,29.29,1.02424035506999
67,Dalfsen,146.0,165.07,0.8844732537711274
68,Dantumadiel,82.0,84.66,0.9685802031656037
69,De Bilt,128.0,66.12,1.9358741681790683
70,De Friese Meren,322.0,351.29,0.9166215946938426
71,De Fryske Marren,7.0,,
72,De Marne,139.0,240.3,0.5784436121514773
73,De Ronde Venen,154.0,99.92,1.5412329863891112
74,De Wolden,154.0,224.55,0.6858160765976397
75,Delft,197.0,22.65,8.69757174392936
76,Delfzijl,155.0,133.07,1.164800480949876
77,Den Helder,147.0,45.25,3.248618784530387
78,Deurne,99.0,116.93,0.8466603951081844
79,Deventer,314.0,130.68,2.4028160391796756
80,Diemen,50.0,11.99,4.170141784820684
81,Dinkelland,129.0,175.71,0.7341642479084856
82,Doesburg,28.0,11.53,2.4284475281873377
83,Doetinchem,126.0,79.05,1.5939278937381405
84,Dongen,33.0,29.24,1.12859097127223
85,Dongeradeel,145.0,,
86,Dordrecht,307.0,78.54,3.908836261777438
87,Drechterland,80.0,58.89,1.358464934623875
88,Drimmelen,85.0,95.18,0.8930447573019541
89,Dronten,104.0,333.57,0.311778637167611
90,Druten,33.0,37.64,0.8767268862911796
91,Duitsland,235.0,,
92,Duiven,50.0,33.9,1.4749262536873158
93,Echt-Susteren,86.0,103.07,0.8343843989521685
94,Edam-Volendam,66.0,54.33,1.2147984538928769
95,Ede,285.0,318.18,0.8957194041108806
96,Eemnes,30.0,31.04,0.9664948453608248
97,Eemsmond,78.0,,
98,Eersel,55.0,82.46,0.6669900557846229
99,Eijsden-Margraten,125.0,77.55,1.6118633139909737
100,Eindhoven,494.0,87.66,5.635409536846908
101,Elburg,36.0,63.82,0.5640864932623002
102,Emmen,495.0,335.18,1.476818425920401
103,Enkhuizen,33.0,12.68,2.602523659305994
104,Enschede,391.0,140.83,2.7763970744869697
105,Epe,56.0,156.07,0.358813352982636
106,Ermelo,78.0,85.63,0.9108957141188836
107,Etten-Leur,81.0,55.3,1.4647377938517179
108,Ferwerderadiel,42.0,,
109,Geertruidenberg,45.0,26.63,1.6898235073225687
110,Geldermalsen,107.0,,
111,Geldrop-Mierlo,99.0,31.01,3.1925185424056752
112,Gemert-Bakel,86.0,122.14,0.7041100376616997
113,Gennep,45.0,47.62,0.9449811003779925
114,Giessenlanden,100.0,,
115,Gilze en Rijen,46.0,65.38,0.7035790761700826
116,Goeree-Overflakkee,140.0,260.48,0.5374692874692875
117,Goes,97.0,92.58,1.047742492979045
118,Goirle,49.0,42.99,1.139799953477553
119,Gorinchem,98.0,18.83,5.204460966542752
120,Gouda,150.0,16.5,9.090909090909092
121,Grave,32.0,27.18,1.177336276674025
122,Groesbeek,149.0,,
123,Groningen,604.0,185.6,3.2543103448275863
124,Grootegast,96.0,,
125,Gulpen-Wittem,103.0,73.18,1.4074883848045914
126,Haaksbergen,82.0,104.82,0.7822934554474338
127,Haaren,59.0,57.7,1.022530329289428
128,Haarlem,285.0,29.17,9.77031196434693
129,Haarlemmerliede en Spaarnwoude,21.0,,
130,Haarlemmermeer,515.0,197.48,2.6078590236986026
131,Halderberge,64.0,74.47,0.8594064724049953
132,Hardenberg,240.0,312.28,0.7685410529012425
133,Harderwijk,101.0,38.89,2.5970686551812805
134,Hardinxveld-Giessendam,51.0,16.91,3.015966883500887
135,Haren,92.0,,
136,Harlingen,38.0,24.96,1.5224358974358974
137,Hattem,18.0,23.08,0.7798960138648181
138,Heemskerk,58.0,27.34,2.121433796634967
139,Heemstede,55.0,9.18,5.991285403050109
140,Heerde,36.0,78.74,0.4572009144018288
141,Heerenveen,182.0,190.09,0.9574412120574465
142,Heerhugowaard,84.0,38.21,2.1983773881182938
143,Heerlen,193.0,44.94,4.294615042278594
144,Heeze-Leende,47.0,104.02,0.45183618534897135
145,Heiloo,27.0,18.7,1.4438502673796791
146,Hellendoorn,99.0,137.91,0.7178594735697194
147,Hellevoetsluis,64.0,41.1,1.557177615571776
148,Helmond,181.0,53.18,3.4035351635953366
149,Hendrik-Ido-Ambacht,59.0,10.61,5.5607917059377945
150,Hengelo,218.0,60.84,3.5831689677843523
151,Heumen,73.0,39.76,1.836016096579477
152,Heusden,101.0,78.88,1.280425963488844
153,Hillegom,35.0,12.87,2.7195027195027195
154,Hilvarenbeek,53.0,94.85,0.558777016341592
155,Hilversum,177.0,45.61,3.880727910545933
156,Hof van Twente,110.0,212.56,0.5175009409108017
157,Hollands Kroon,192.0,357.34,0.5373034085184978
158,Hoogeveen,205.0,127.54,1.6073388740787202
159,Hoorn,175.0,20.38,8.58684985279686
160,Horst aan de Maas,126.0,188.73,0.6676204101096805
161,Houten,89.0,54.94,1.6199490353112487
162,Huizen,68.0,15.81,4.301075268817204
163,Hulst,117.0,201.71,0.5800406524217936
164,IJsselstein,50.0,21.07,2.3730422401518747
165,Kaag en Braassem,106.0,63.24,1.6761543327008221
166,Kampen,151.0,142.18,1.0620340413560274
167,Kapelle,43.0,37.13,1.1580931861028816
168,Katwijk,102.0,24.75,4.121212121212121
169,Kerkrade,135.0,21.91,6.161570059333638
170,Koggenland,59.0,80.32,0.7345617529880478
171,Kollumerland en Nieuwkruisland,73.0,,
172,Korendijk,39.0,,
173,Krimpen aan den IJssel,63.0,7.69,8.192457737321195
174,Krimpenerwaard,309.0,148.4,2.082210242587601
175,Laarbeek,73.0,55.35,1.3188798554652212
176,Landerd,52.0,70.35,0.7391613361762616
177,Landgraaf,89.0,24.58,3.6208299430431246
178,Landsmeer,63.0,22.53,2.7962716378162447
179,Langedijk,52.0,23.88,2.1775544388609718
180,Lansingerland,95.0,53.41,1.778693128627598
181,Laren,27.0,12.41,2.17566478646253
182,Leek,99.0,,
183,Leerdam,48.0,,
184,Leeuwarden,495.0,238.38,2.076516486282406
185,Leiden,238.0,21.91,10.86261980830671
186,Leiderdorp,65.0,11.58,5.613126079447323
187,Leidschendam-Voorburg,112.0,32.55,3.440860215053764
188,Lelystad,205.0,230.32,0.8900659951372004
189,Leudal,130.0,162.73,0.7988692926934186
190,Leusden,91.0,58.54,1.5544926545951487
191,Lingewaal,49.0,,
192,Lingewaard,120.0,62.0,1.935483870967742
193,Lisse,45.0,15.69,2.868068833652008
194,Lochem,111.0,213.03,0.5210533727643993
195,Loon op Zand,42.0,49.94,0.841009211053264
196,Lopik,147.0,75.57,1.9452163556967053
197,Loppersum,86.0,111.04,0.7744956772334294
198,Losser,57.0,98.76,0.5771567436208991
199,Maasdriel,75.0,66.11,1.1344728482831645
200,Maasgouw,68.0,45.71,1.4876394661999561
201,Maassluis,42.0,8.48,4.952830188679245
202,Maastricht,296.0,55.99,5.286658331844972
203,Marum,47.0,,
204,Medemblik,234.0,121.42,1.9271948608137044
205,Meerssen,52.0,26.96,1.9287833827893175
206,Meierijstad,1.0,184.09,0.005432125590743658
207,Meppel,105.0,55.53,1.8908698001080497
208,Middelburg,98.0,48.42,2.023957042544403
209,Midden-Delfland,73.0,47.19,1.5469379105742742
210,Midden-Drenthe,212.0,340.51,0.6225955184869755
211,Midden-Groningen,321.0,280.0,1.1464285714285714
212,Mill en Sint Hubert,44.0,52.23,0.8424277235305381
213,Moerdijk,129.0,159.15,0.8105560791705938
214,iess,195.0,,
215,Montferland,61.0,105.7,0.5771050141911069
216,Montfoort,49.0,37.57,1.304232100079851
217,Mook en Middelaar,20.0,17.38,1.1507479861910241
218,Muiden,32.0,,
219,Naarden,47.0,,
220,Neder-Betuwe,66.0,59.98,1.1003667889296433
221,Nederweert,49.0,99.98,0.49009801960392074
222,Neerijnen,80.0,,
223,Nieuwegein,150.0,23.51,6.380263717566993
224,Nieuwkoop,103.0,78.05,1.319666880204997
225,Nijkerk,63.0,69.34,0.9085664839919239
226,Nijmegen,394.0,53.09,7.421359954793746
227,Nissewaard,188.0,73.58,2.5550421310138627
228,Noord-Beveland,41.0,85.96,0.4769660307119591
229,Noordenveld,128.0,199.41,0.6418935860789329
230,Noordoostpolder,154.0,458.17,0.3361197808673636
231,Noordwijk,57.0,58.37,0.9765290388898407
232,Noordwijkerhout,39.0,,
233,"Nuenen, Gerwen en Nederwetten",48.0,33.71,1.4239098190447939
234,Nunspeet,72.0,128.74,0.5592667391642069
235,Nuth,59.0,33.1,1.782477341389728
236,Oegstgeest,54.0,7.31,7.387140902872777
237,Oirschot,56.0,101.78,0.5502063273727648
238,Oisterwijk,58.0,63.84,0.9085213032581453
239,Oldambt,257.0,226.66,1.1338568781434748
240,Oldebroek,56.0,97.65,0.5734767025089605
241,Oldenzaal,79.0,21.55,3.6658932714617167
242,Olst-Wijhe,74.0,113.84,0.6500351370344343
243,Ommen,75.0,179.9,0.41689827682045577
244,Onderbanken,23.0,21.24,1.0828625235404896
245,Oost Gelre,54.0,109.93,0.49122168652779036
246,Oosterhout,106.0,71.47,1.4831397789282217
247,Ooststellingwerf,158.0,223.42,0.7071882553039119
248,Oostzaan,16.0,11.53,1.3876843018213356
249,Opmeer,57.0,41.5,1.3734939759036144
250,Opsterland,183.0,224.4,0.8155080213903743
251,Oss,185.0,163.16,1.1338563373375827
252,Oud-Beijerland,53.0,,
253,Oude IJsselstreek,100.0,136.15,0.7344840249724568
254,Ouder-Amstel,44.0,24.08,1.8272425249169437
255,Oudewater,27.0,38.9,0.6940874035989717
256,Overbetuwe,147.0,109.19,1.3462771316054585
257,Papendrecht,72.0,9.41,7.651434643995749
258,Peel en Maas,108.0,159.37,0.6776683190060865
259,Pekela,78.0,49.04,1.5905383360522023
260,Pijnacker-Nootdorp,93.0,37.08,2.5080906148867315
261,Purmerend,191.0,23.15,8.250539956803456
262,Putten,49.0,85.22,0.5749823984980051
263,Raalte,93.0,170.99,0.5438914556406808
264,Reimerswaal,60.0,101.8,0.5893909626719057
265,Renkum,148.0,45.95,3.220892274211099
266,Renswoude,10.0,18.4,0.5434782608695653
267,Reusel-De Mierden,26.0,77.88,0.33384694401643555
268,Rheden,149.0,81.74,1.8228529483728897
269,Rhenen,65.0,42.08,1.5446768060836502
270,Ridderkerk,144.0,23.72,6.070826306913997
271,Rijssen-Holten,85.0,94.13,0.9030064803994476
272,Rijswijk,117.0,13.96,8.3810888252149
273,Roerdalen,54.0,88.21,0.6121754903072214
274,Roermond,130.0,60.81,2.1378062818615358
275,Roosendaal,192.0,106.5,1.8028169014084507
276,Rotterdam,1308.0,217.57,6.011858252516432
277,Rozendaal,9.0,27.9,0.3225806451612903
278,Rucphen,28.0,64.41,0.4347151063499457
279,Schagen,234.0,168.25,1.3907875185735512
280,Scherpenzeel,26.0,13.79,1.8854242204496012
281,Schiedam,136.0,17.82,7.631874298540965
282,Schiermonnikoog,40.0,40.5,0.9876543209876543
283,Schijndel,42.0,,
284,Schinnen,41.0,,
285,Schouwen-Duiveland,191.0,229.65,0.8317004136729806
286,Simpelveld,34.0,16.03,2.1210230817217717
287,Sint Anthonis,60.0,99.27,0.6044122091266244
288,Sint-Michielsgestel,65.0,58.38,1.1133949982870845
289,Sint-Oedenrode,30.0,,
290,Sittard-Geleen,204.0,79.01,2.5819516516896592
291,Sliedrecht,53.0,12.84,4.127725856697819
292,Sluis,143.0,279.36,0.5118843069873997
293,Smallingerland,158.0,117.31,1.3468587503196658
294,Soest,107.0,46.24,2.31401384083045
295,Someren,49.0,80.27,0.6104397657904572
296,Son en Breugel,56.0,25.95,2.157996146435453
297,Stadskanaal,158.0,117.64,1.3430805848350902
298,Staphorst,61.0,133.99,0.4552578550638107
299,Stede Broec,23.0,14.5,1.5862068965517242
300,Steenbergen,55.0,146.43,0.37560609164788633
301,Steenwijkerland,194.0,288.27,0.6729801921809415
302,Stein,40.0,21.08,1.8975332068311197
303,Stichtse Vecht,192.0,96.1,1.9979188345473466
304,Strijen,29.0,,
305,Súdwest-Fryslân,389.0,523.01,0.7437716296055525
306,Ten Boer,48.0,45.73,1.0496391865296306
307,Terneuzen,131.0,250.38,0.5232047288122055
308,Terschelling,82.0,85.26,0.961764015951208
309,Texel,156.0,162.0,0.9629629629629629
310,Teylingen,61.0,28.38,2.149400986610289
311,Tholen,34.0,146.71,0.2317497103128621
312,Tiel,90.0,32.88,2.7372262773722627
313,Tilburg,396.0,116.17,3.4087974520099853
314,Tubbergen,105.0,147.0,0.7142857142857143
315,Twenterand,80.0,106.17,0.7535085240651784
316,Tynaarlo,131.0,143.0,0.916083916083916
317,Tytsjerksteradiel,83.0,148.86,0.557570871960231
318,Uden,77.0,67.0,1.1492537313432836
319,Uitgeest,11.0,19.16,0.5741127348643006
320,Uithoorn,79.0,18.14,4.355016538037486
321,Urk,16.0,13.15,1.2167300380228137
322,Utrecht,748.0,93.83,7.971864009378664
323,Utrechtse Heuvelrug,150.0,132.01,1.1362775547307022
324,Vaals,56.0,23.89,2.3440770196735037
325,Valkenburg aan de Geul,69.0,36.73,1.8785733732643617
326,Valkenswaard,64.0,54.92,1.1653313911143481
327,Veendam,154.0,76.0,2.026315789473684
328,Veenendaal,82.0,19.46,4.21377183967112
329,Veere,155.0,132.56,1.1692818346409173
330,Veghel,96.0,78.92,1.2164216928535225
331,Veldhoven,112.0,31.69,3.534237929946355
332,Velsen,157.0,45.2,3.473451327433628
333,Venlo,226.0,124.25,1.8189134808853118
334,Venray,94.0,163.27,0.5757334476633796
335,Vianen,80.0,42.39,1.8872375560273649
336,Vlaardingen,112.0,23.57,4.751803139584217
337,Vlieland,32.0,39.15,0.8173690932311622
338,Vlissingen,65.0,34.31,1.8944914019236374
339,Voerendaal,38.0,31.51,1.2059663598857504
340,Voorschoten,39.0,11.14,3.5008976660682225
341,Voorst,86.0,122.97,0.6993575668862324
342,Vught,78.0,33.75,2.311111111111111
343,Waadhoeke,266.0,284.86,0.9337920381942006
344,Waalre,60.0,22.39,2.6797677534613666
345,Waalwijk,101.0,64.58,1.5639516878290494
346,Waddinxveen,59.0,27.77,2.1245948865682394
347,Wageningen,53.0,30.42,1.742274819197896
348,Wassenaar,66.0,51.11,1.2913324202700058
349,Waterland,71.0,52.11,1.3625023987718288
350,Weert,104.0,104.32,0.9969325153374233
351,Weesp,39.0,22.79,1.7112768758227292
352,Werkendam,78.0,121.8,0.6403940886699507
353,West Maas en Waal,59.0,76.76,0.7686294945284001
354,Westerveld,141.0,278.35,0.5065564936231363
355,Westervoort,26.0,7.03,3.6984352773826457
356,Westerwolde,270.0,275.67,0.9794319294809011
357,Westland,151.0,81.27,1.858004183585579
358,Weststellingwerf,141.0,220.3,0.640036314117113
359,Westvoorne,34.0,53.18,0.6393380970289583
360,Wierden,34.0,94.63,0.35929409278241575
361,Wijchen,126.0,66.18,1.9038984587488665
362,Wijdemeren,118.0,47.6,2.4789915966386555
363,Wijk bij Duurstede,29.0,47.62,0.6089878202435952
364,Winsum,55.0,102.5,0.5365853658536586
365,Winterswijk,21.0,138.14,0.15201969016939337
366,Woensdrecht,50.0,91.66,0.5454942177612917
367,Woerden,160.0,88.57,1.8064807496895112
368,Wormerland,58.0,38.59,1.5029800466442083
369,Woudenberg,22.0,36.53,0.6022447303586094
370,Woudrichem,47.0,7.68,6.119791666666667
371,Zaanstad,353.0,73.87,4.778665222688507
372,Zaltbommel,140.0,79.38,1.7636684303350971
373,Zandvoort,41.0,32.12,1.2764632627646326
374,Zederik,98.0,76.5,1.2810457516339868
375,Zeevang,56.0,54.34,1.0305483989694515
376,Zeewolde,66.0,247.23,0.26695789345953164
377,Zeist,151.0,48.51,3.1127602556173986
378,Zevenaar,101.0,92.6,1.0907127429805616
379,Zoetermeer,198.0,34.45,5.747460087082728
380,Zoeterwoude,28.0,21.19,1.3213780084945728
381,Zuidhorn,105.0,128.4,0.8177570093457943
382,Zuidplas,97.0,58.02,1.6718372974836262
383,Zundert,33.0,120.65,0.27351844177372564
384,Zutphen,107.0,40.95,2.6129426129426125
385,Zwartewaterland,74.0,82.49,0.8970784337495454
386,Zwijndrecht,91.0,20.3,4.482758620689655
387,Zwolle,328.0,111.1,2.9522952295229525
388,Hoeksche Waard,175.0,268.93,0.6507269549696947
389,Westerkwartier,347.0,362.69,0.9567399156304282
390,Gooise Meren,133.0,41.59,3.1978841067564314
391,Vijfheerenlanden,,146.41,
392,Altena,172.0,200.63,0.8572995065543538
393,West Betuwe,236.0,216.12,1.0919859337405144
394,Het Hogeland,298.0,482.75,0.6172967374417401
395,Noardeast-Fryslân,260.0,373.83,0.6955033036406923
396,Molenlanden,295.0,181.73,1.6232872943377539
397,Beekdaelen,123.0,78.3,1.57088122605364
398,Berg en Dal,149.0,86.31,1.7263353029776387
